"Freq [MHz]","dB(S(1,1)) []"
100,-0.336458716199187
100.5,-0.349791692676985
101,-0.363749047265066
101.5,-0.378365460481091
102,-0.393677844107368
102.5,-0.40972550356067
103,-0.426550313281498
103.5,-0.444196906260295
104,-0.462712878917362
104.5,-0.482149012660958
105,-0.502559513565205
105.5,-0.524002271736533
106,-0.546539142075208
106.5,-0.570236248287871
107,-0.595164312168546
107.5,-0.621399010340198
108,-0.649021360837458
108.5,-0.678118142114191
109,-0.708782347278173
109.5,-0.74111367658996
110,-0.775219071514907
110.5,-0.811213293886856
111,-0.849219554030321
111.5,-0.889370191995503
112,-0.931807416388344
112.5,-0.976684105626685
113,-1.02416467682505
113.5,-1.07442602790558
114,-1.12765855895376
114.5,-1.18406727928736
115,-1.24387300718957
115.5,-1.3073136697788
116,-1.37464571105553
116.5,-1.44614561679404
117,-1.52211156564856
117.5,-1.60286521664372
118,-1.68875364414753
118.5,-1.78015143252527
119,-1.87746294399843
119.5,-1.98112477485978
120,-2.09160841721813
120.5,-2.20942314598744
121,-2.33511915404986
121.5,-2.46929096260114
122,-2.61258113886323
122.5,-2.76568435989462
123,-2.9293518694542
123.5,-3.1043963851097
124,-3.29169752534476
124.5,-3.49220784155206
125,-3.70695955755253
125.5,-3.93707213930509
126,-4.18376083866847
126.5,-4.44834637498942
127,-4.73226593205546
127.5,-5.03708564649195
128,-5.36451473057535
128.5,-5.71642127839202
129,-6.09484959739606
129.5,-6.50203849574524
130,-6.94043917574455
130.5,-7.4127299425907
131,-7.92182230789684
131.5,-8.47084829236428
132,-9.06311006878858
132.5,-9.70195736633591
133,-10.3905295918075
133.5,-11.1312485755076
134,-11.9248587176876
134.5,-12.7686655235392
135,-13.6534219193579
135.5,-14.5581663785692
136,-15.4427191635853
136.5,-16.2398218839326
137,-16.8547527880686
137.5,-17.1863118689047
138,-17.1724472575855
138.5,-16.8284401939231
139,-16.2366322625659
139.5,-15.4995941871479
140,-14.7022104709703
140.5,-13.9003643850849
141,-13.1255762014767
141.5,-12.3932520036408
142,-11.7093539097954
142.5,-11.0747130714176
143,-10.4875566023248
143.5,-9.94491417683321
144,-9.44337504232517
144.5,-8.97948193787418
145,-8.54992592081213
145.5,-8.15163354591791
146,-7.78179682506915
146.5,-7.43787363441377
147,-7.11757367780552
147.5,-6.81883818735267
148,-6.53981771520383
148.5,-6.27885025705348
149,-6.03444078486439
149.5,-5.80524263312284
150,-5.59004084570265
150.5,-5.3877374183036
151,-5.19733829085718
151.5,-5.01794191371716
152,-4.84872920740688
152.5,-4.68895474497985
153,-4.53793900130936
153.5,-4.39506153084771
154,-4.25975495247414
154.5,-4.1314996359521
155,-4.00981899880711
155.5,-3.89427533500982
156,-3.78446610776657
156.5,-3.68002064812161
157,-3.58059720913327
157.5,-3.48588033227236
158,-3.39557848857048
158.5,-3.30942196206363
159,-3.22716094736371
159.5,-3.14856383685634
160,-3.07341567616517
160.5,-3.00151676921855
161,-2.93268141657438
161.5,-2.86673677265824
162,-2.80352180929824
162.5,-2.74288637443665
163,-2.68469033619776
163.5,-2.62880280362245
164,-2.57510141636564
164.5,-2.52347169651539
165,-2.47380645644691
165.5,-2.42600525728778
166,-2.37997391315353
166.5,-2.33562403682619
167,-2.29287262300207
167.5,-2.25164166563582
168,-2.21185780626335
168.5,-2.17345201050119
169,-2.13635927020014
169.5,-2.10051832898063
170,-2.06587142909918
170.5,-2.0323640777941
171,-1.99994483143586
171.5,-1.96856509596628
172,-1.93817894225312
172.5,-1.90874293511409
173,-1.88021597487933
173.5,-1.85255915046419
174,-1.82573560301729
174.5,-1.79971039929231
175,-1.77445041396781
175.5,-1.74992422020704
176,-1.72610198781203
176.5,-1.70295538838144
177,-1.68045750693261
177.5,-1.65858275949378
178,-1.63730681621428
178.5,-1.61660652957795
179,-1.59645986733968
179.5,-1.57684584983593
180,-1.55774449134862
180.5,-1.53913674522775
181,-1.52100445250149
181.5,-1.50333029372434
182,-1.48609774383344
182.5,-1.46929102980113
183,-1.45289509088834
183.5,-1.43689554131852
184,-1.42127863520547
184.5,-1.40603123358121
185,-1.39114077338149
185.5,-1.37659523825743
186,-1.3623831310912
186.5,-1.34849344810298
187,-1.33491565444448
187.5,-1.32163966118202
188,-1.30865580357912
188.5,-1.29595482059499
189,-1.28352783552135
189.5,-1.27136633768539
190,-1.25946216515178
