"Freq [MHz]","dB(S(1,1)) []"
435,-1.13509017432886
435.1,-1.13735570630594
435.2,-1.13962649781008
435.3,-1.14190256262851
435.4,-1.1441839145876
435.5,-1.14647056755304
435.6,-1.14876253542992
435.7,-1.15105983216284
435.8,-1.15336247173604
435.9,-1.15567046817354
436,-1.15798383553918
436.1,-1.16030258793683
436.2,-1.16262673951044
436.3,-1.16495630444419
436.4,-1.1672912969626
436.5,-1.16963173133063
436.6,-1.17197762185383
436.7,-1.17432898287844
436.8,-1.17668582879152
436.9,-1.17904817402106
437,-1.18141603303608
437.1,-1.18378942034681
437.2,-1.18616835050474
437.3,-1.18855283810278
437.4,-1.1909428977754
437.5,-1.19333854419869
437.6,-1.19573979209054
437.7,-1.19814665621073
437.8,-1.20055915136107
437.9,-1.20297729238551
438,-1.20540109417026
438.1,-1.20783057164395
438.2,-1.21026573977769
438.3,-1.21270661358526
438.4,-1.21515320812318
438.5,-1.21760553849087
438.6,-1.22006361983078
438.7,-1.22252746732847
438.8,-1.22499709621279
438.9,-1.22747252175596
439,-1.22995375927375
439.1,-1.23244082412556
439.2,-1.23493373171454
439.3,-1.23743249748779
439.4,-1.2399371369364
439.5,-1.24244766559563
439.6,-1.24496409904503
439.7,-1.24748645290857
439.8,-1.25001474285475
439.9,-1.25254898459675
440,-1.25508919389257
440.1,-1.25763538654513
440.2,-1.26018757840243
440.3,-1.26274578535765
440.4,-1.2653100233493
440.5,-1.26788030836139
440.6,-1.27045665642347
440.7,-1.27303908361087
440.8,-1.27562760604473
440.9,-1.27822223989222
441,-1.28082300136662
441.1,-1.28342990672749
441.2,-1.28604297228077
441.3,-1.28866221437894
441.4,-1.29128764942113
441.5,-1.2939192938533
441.6,-1.29655716416834
441.7,-1.29920127690621
441.8,-1.30185164865408
441.9,-1.30450829604647
442,-1.30717123576541
442.1,-1.30984048454052
442.2,-1.31251605914921
442.3,-1.31519797641679
442.4,-1.31788625321661
442.5,-1.32058090647018
442.6,-1.32328195314737
442.7,-1.32598941026648
442.8,-1.32870329489444
442.9,-1.33142362414689
443,-1.33415041518839
443.1,-1.33688368523251
443.2,-1.33962345154199
443.3,-1.34236973142887
443.4,-1.34512254225469
443.5,-1.34788190143053
443.6,-1.35064782641725
443.7,-1.35342033472559
443.8,-1.35619944391633
443.9,-1.3589851716004
444,-1.36177753543907
444.1,-1.36457655314409
444.2,-1.3673822424778
444.3,-1.37019462125332
444.4,-1.37301370733466
444.5,-1.37583951863691
444.6,-1.37867207312634
444.7,-1.38151138882059
444.8,-1.38435748378878
444.9,-1.38721037615171
445,-1.39007008408194
445.1,-1.39293662580401
445.2,-1.39581001959455
445.3,-1.39869028378245
445.4,-1.40157743674897
445.5,-1.40447149692796
445.6,-1.40737248280595
445.7,-1.41028041292234
445.8,-1.41319530586953
445.9,-1.4161171802931
446,-1.41904605489193
446.1,-1.42198194841838
446.2,-1.42492487967844
446.3,-1.42787486753185
446.4,-1.43083193089234
446.5,-1.43379608872768
446.6,-1.43676736005993
446.7,-1.43974576396551
446.8,-1.44273131957544
446.9,-1.44572404607544
447,-1.44872396270612
447.1,-1.45173108876311
447.2,-1.45474544359724
447.3,-1.4577670466147
447.4,-1.46079591727718
447.5,-1.46383207510207
447.6,-1.46687553966254
447.7,-1.46992633058782
447.8,-1.47298446756326
447.9,-1.47604997033052
448,-1.47912285868775
448.1,-1.48220315248977
448.2,-1.48529087164816
448.3,-1.4883860361315
448.4,-1.4914886659655
448.5,-1.49459878123315
448.6,-1.49771640207492
448.7,-1.50084154868891
448.8,-1.50397424133101
448.9,-1.50711450031507
449,-1.51026234601306
449.1,-1.51341779885526
449.2,-1.51658087933039
449.3,-1.51975160798584
449.4,-1.52293000542775
449.5,-1.52611609232127
449.6,-1.52930988939066
449.7,-1.53251141741949
449.8,-1.53572069725082
449.9,-1.53893774978737
450,-1.54216259599164
450.1,-1.54539525688616
450.2,-1.54863575355361
450.3,-1.551884107137
450.4,-1.55514033883986
450.5,-1.5584044699264
450.6,-1.5616765217217
450.7,-1.56495651561186
450.8,-1.56824447304417
450.9,-1.57154041552735
451,-1.57484436463164
451.1,-1.57815634198903
451.2,-1.58147636929342
451.3,-1.58480446830081
451.4,-1.58814066082946
451.5,-1.59148496876008
451.6,-1.594837414036
451.7,-1.59819801866336
451.8,-1.60156680471128
451.9,-1.60494379431207
452,-1.60832900966135
452.1,-1.6117224730183
452.2,-1.61512420670578
452.3,-1.61853423311057
452.4,-1.62195257468352
452.5,-1.62537925393972
452.6,-1.62881429345872
452.7,-1.63225771588469
452.8,-1.63570954392662
452.9,-1.63916980035849
453,-1.64263850801945
453.1,-1.64611568981406
453.2,-1.64960136871239
453.3,-1.65309556775029
453.4,-1.65659831002951
453.5,-1.66010961871794
453.6,-1.66362951704979
453.7,-1.66715802832573
453.8,-1.67069517591316
453.9,-1.67424098324634
454,-1.6777954738266
454.1,-1.68135867122253
454.2,-1.68493059907018
454.3,-1.68851128107325
454.4,-1.69210074100326
454.5,-1.69569900269979
454.6,-1.69930609007061
454.7,-1.70292202709196
454.8,-1.70654683780867
454.9,-1.71018054633437
455,-1.71382317685171
455.1,-1.71747475361257
455.2,-1.72113530093821
455.3,-1.72480484321948
455.4,-1.72848340491706
455.5,-1.7321710105616
455.6,-1.73586768475397
455.7,-1.73957345216543
455.8,-1.74328833753783
455.9,-1.74701236568383
456,-1.75074556148709
456.1,-1.75448794990248
456.2,-1.75823955595626
456.3,-1.76200040474633
456.4,-1.76577052144236
456.5,-1.76954993128608
456.6,-1.77333865959143
456.7,-1.77713673174477
456.8,-1.7809441732051
456.9,-1.78476100950427
457,-1.78858726624717
457.1,-1.79242296911196
457.2,-1.79626814385025
457.3,-1.80012281628734
457.4,-1.8039870123224
457.5,-1.8078607579287
457.6,-1.81174407915383
457.7,-1.81563700211989
457.8,-1.81953955302369
457.9,-1.82345175813699
458,-1.82737364380673
458.1,-1.83130523645518
458.2,-1.83524656258022
458.3,-1.83919764875552
458.4,-1.84315852163075
458.5,-1.84712920793184
458.6,-1.85110973446112
458.7,-1.85510012809764
458.8,-1.85910041579726
458.9,-1.86311062459301
459,-1.8671307815952
459.1,-1.87116091399168
459.2,-1.87520104904806
459.3,-1.87925121410795
459.4,-1.88331143659312
459.5,-1.8873817440038
459.6,-1.89146216391885
459.7,-1.89555272399599
459.8,-1.89965345197206
459.9,-1.9037643756632
460,-1.90788552296509
460.1,-1.91201692185317
460.2,-1.91615860038292
460.3,-1.92031058668999
460.4,-1.92447290899051
460.5,-1.92864559558128
460.6,-1.93282867484001
460.7,-1.93702217522554
460.8,-1.9412261252781
460.9,-1.94544055361949
461,-1.94966548895336
461.1,-1.95390096006542
461.2,-1.95814699582367
461.3,-1.96240362517865
461.4,-1.96667087716365
461.5,-1.97094878089498
461.6,-1.97523736557217
461.7,-1.97953666047821
461.8,-1.98384669497982
461.9,-1.98816749852765
462,-1.99249910065656
462.1,-1.99684153098579
462.2,-2.00119481921928
462.3,-2.00555899514586
462.4,-2.00993408863951
462.5,-2.01432012965957
462.6,-2.01871714825104
462.7,-2.02312517454477
462.8,-2.02754423875776
462.9,-2.03197437119332
463,-2.0364156022414
463.1,-2.04086796237879
463.2,-2.04533148216938
463.3,-2.0498061922644
463.4,-2.05429212340268
463.5,-2.05878930641089
463.6,-2.0632977722038
463.7,-2.06781755178449
463.8,-2.07234867624467
463.9,-2.07689117676488
464,-2.08144508461475
464.1,-2.08601043115328
464.2,-2.09058724782905
464.3,-2.09517556618051
464.4,-2.09977541783623
464.5,-2.10438683451514
464.6,-2.1090098480268
464.7,-2.11364449027166
464.8,-2.11829079324131
464.9,-2.12294878901873
465,-2.12761850977859
465.1,-2.13229998778745
